,img_id,caption_list,pred_oscar,pred_sat,pred_nicplus,pred_niceq,bb_age
0,192,"['A group of baseball players is crowded at the mound.', 'A baseball player at the area where one goes to bat ', 'A man that is standing in the dirt near a plate.', 'a baseball player on the home plate during a game', 'A baseball player for the Chicago Cubs stands at home plate.']",a baseball player holding a bat on top of a field.,a batter catcher and umpire during a baseball game,a baseball player holding a bat on top of a field.,a baseball player holding a bat on a field.,old
1,241,"['a man standing holding a game controller and two people sitting', 'Young adult using video game controller with other looking on.', 'A man standing on a piece of equipment for a video game while holding the remote as four other people look on', 'people sitting around watching a man playing a video game', 'The group of friends is enjoyingplaying the video games.']",a man standing in a living room holding a nintendo wii game controller.,a couple of people that are playing a video game,a group of people playing a game with nintendo wii controllers.,a group of people playing a video game.,old
2,294,"['A man standing in front of a microwave next to pots and pans.', 'A man displaying pots and utensils on a wall.', 'A man stands in a kitchen and motions towards pots and pans. ', 'a man poses in front of some pots and pans ', 'A man pointing to pots hanging from a pegboard on a gray wall.']",a man standing in front of a bunch of pots and pans.,a woman is pouring wine into a wine glass,a woman standing in a kitchen preparing food.,a man standing in a kitchen holding a knife.,old
3,328,"['Three men in military suits are sitting on a bench,', 'Three persons with military attire seated on a bench', 'Three young men in decorated uniforms sit on a bench together.', 'a few guys sit next to each other on a bench ', 'Three young men sitting on a bench wearing dress formals.']",a group of three men sitting on top of a bench.,a group of people sitting on a bench,a black and white photo of a group of people sitting on a bench.,a black and white photo of a group of people sitting on a bench.,young
4,338,"['Two people standing in a kitchen looking around. ', 'A couple of men are standing in a kitchen', 'Two people looking at a large kitchen ', 'An elderly man and woman looking around in a kitchen.', 'Two people standing close to each other while standing in a kitchen.']",a couple of women standing in a kitchen next to each other.,a group of people standing in a kitchen,a woman standing in a kitchen next to a stove.,a woman standing in a kitchen next to a stove.,old
5,395,"['A man talking on his phone in the public.', 'A man using a cell phone amongst a crowd of people.', 'A man in a crown wears a red jacket and is on the phone.', 'A man standing on a busy sidewalk while talking on his cellphone.', 'a man with a white beard and hat on a cellphone']",a man in a red jacket talking on a cell phone.,a man in a red jacket talking on a cell phone,a man in a hat and sunglasses talking on a cell phone.,a man in a hat and sunglasses talking on a cell phone.,old
6,415,"['A guy jumping with a tennis racket in his hand.', 'A man standing on a tennis court holding a racquet.', 'A guy holding a racket in a game of tennis.', 'A tennis player in mid air action on the court.', 'A man in black shirt and blue shorts playing a game of tennis.']",a man swinging a tennis racquet on a tennis court.,a man holding a tennis racquet on a tennis court,a male tennis player in action on the court.,a male tennis player in action on the court.,old
7,428,"['a close up of a child next to a cake with balloons', 'A baby sitting in front of a cake wearing a tie.', 'The young boy is dressed in a tie that matches his cake. ', 'A child eating a birthday cake near some balloons.', 'A baby eating a cake with a tie around his/her neck with balloons in the background.']",a baby girl blowing out the candles on a cake.,a little girl sitting at a table with a cake,a woman in a pink dress brushing her teeth.,a woman brushing her teeth in front of a mirror.,young
8,459,"['A man holding a camera up over his left shoulder.', 'A man with a blazer holding a camera', 'A man in a suit snaps a mirror selfie.', 'a man in a suit taking a picture of himself with a large camera', 'A man wearing a suit is taking a self portrait with a camera.']",a man wearing a suit and tie holding a camera.,a man in a suit and tie holding a camera,a man in a suit and tie standing in front of a window.,a man in a suit and tie standing in a room.,old
9,474,"['A young boy getting ready to catch a baseball in a grass field.', 'a baseball player with a glove in a field ', 'The boy is bent over with a baseball glove.', 'A boy standing on a field with a baseball glove.', 'A little boay is wearing a tie dye shirt and attempting to catch the ball.']",a young child wearing a catchers mitt on top of a lush green field.,a girl in a field with a frisbee,a man and a dog playing with a frisbee.,a man is playing frisbee in the grass.,young
